sample,cropped_percentage,rmse_org,rel_org,rmse_cropped,rel_cropped
bedroom/rgb_00538.jpg bedroom/sync_depth_00538.png 518.8579,75,0.4557793,0.21757768,0.84764206,0.33201805
bedroom/rgb_00916.jpg bedroom/sync_depth_00916.png 518.8579,75,0.44014505,0.07037262,2.2586923,0.6186286
bedroom/rgb_00917.jpg bedroom/sync_depth_00917.png 518.8579,75,0.3136351,0.056474872,2.353336,0.57819086
bedroom/rgb_00918.jpg bedroom/sync_depth_00918.png 518.8579,75,0.2639657,0.07166145,1.903506,0.5550374
bedroom/rgb_00925.jpg bedroom/sync_depth_00925.png 518.8579,75,0.22533569,0.08590674,1.6629941,0.4957785
bedroom/rgb_00926.jpg bedroom/sync_depth_00926.png 518.8579,75,0.1887344,0.07335391,0.31659365,0.14140466
bedroom/rgb_00927.jpg bedroom/sync_depth_00927.png 518.8579,75,0.41328746,0.26209497,0.29260394,0.12592687
bedroom/rgb_00931.jpg bedroom/sync_depth_00931.png 518.8579,75,0.119242795,0.03327156,2.0213995,0.5727929
bedroom/rgb_00932.jpg bedroom/sync_depth_00932.png 518.8579,75,0.24601279,0.05603051,1.7729967,0.5732375
bedroom/rgb_00933.jpg bedroom/sync_depth_00933.png 518.8579,75,0.28947255,0.13071822,1.4301895,0.53140414
bedroom/rgb_00934.jpg bedroom/sync_depth_00934.png 518.8579,75,0.23078513,0.09851355,1.2296398,0.50631464
bedroom/rgb_00944.jpg bedroom/sync_depth_00944.png 518.8579,75,0.19736186,0.072105095,0.98244816,0.38119918
bedroom/rgb_00945.jpg bedroom/sync_depth_00945.png 518.8579,75,0.2832869,0.11323129,1.3590097,0.45063597
bedroom/rgb_00946.jpg bedroom/sync_depth_00946.png 518.8579,75,0.21543585,0.055436186,1.1093446,0.39056262
bedroom/rgb_00958.jpg bedroom/sync_depth_00958.png 518.8579,75,0.17289422,0.0451835,1.7403449,0.5187791
bedroom/rgb_00959.jpg bedroom/sync_depth_00959.png 518.8579,75,0.3044135,0.1069669,2.3479416,0.60173225
bedroom/rgb_00961.jpg bedroom/sync_depth_00961.png 518.8579,75,0.2524907,0.08815837,1.5432202,0.508502
bedroom/rgb_00964.jpg bedroom/sync_depth_00964.png 518.8579,75,0.18851863,0.057604015,1.3814486,0.41518855
bedroom/rgb_00965.jpg bedroom/sync_depth_00965.png 518.8579,75,0.2825369,0.11368726,1.3536559,0.48780394
bedroom/rgb_00966.jpg bedroom/sync_depth_00966.png 518.8579,75,0.38340008,0.19511372,0.662919,0.28543633
bedroom/rgb_00969.jpg bedroom/sync_depth_00969.png 518.8579,75,0.40355638,0.11312555,3.1916232,0.6892388
bedroom/rgb_00970.jpg bedroom/sync_depth_00970.png 518.8579,75,0.33961236,0.0860481,2.7025113,0.6520968
