abs_mn,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
0.89615697,0.6678221,2.1081526,1.6084677,0.6214387,0.46070993,0.68794477,0.7661188
0.3393554,0.3215705,0.2522188,0.5341508,0.34685358,0.50761443,0.8509502,0.9123804
0.30184186,0.25316617,0.14758009,0.4476435,0.31270933,0.5635761,0.87391555,0.9391155
0.32794896,0.28926533,0.13411781,0.41092622,0.35015088,0.40454888,0.8258003,0.9583454
0.30877128,0.39006186,0.2677035,0.44705462,0.4128745,0.5205357,0.774608,0.85032666
0.20641863,0.24138646,0.1321557,0.32409987,0.28951573,0.72951823,0.8888922,0.9378155
0.5998813,0.39178342,0.8512299,1.0883499,0.446509,0.67723876,0.8109806,0.87183446
0.27651438,0.28905946,0.17965633,0.4282687,0.3466114,0.63156945,0.78500664,0.892594
0.37271276,0.39392713,0.35463646,0.5564457,0.41957986,0.54603714,0.8023361,0.8361113
0.4471937,0.31535676,0.36104244,0.73567975,0.34106952,0.59095424,0.8783154,0.9316269
0.31832078,0.2520436,0.15649898,0.46943834,0.27240252,0.5752226,0.9114212,0.9770564
0.50187343,0.38395825,0.6752529,0.93873215,0.42202064,0.7010724,0.830445,0.8659682
0.6591423,0.6031932,1.0444297,1.0359802,0.5535423,0.39526808,0.7636333,0.8204744
0.39185047,0.30308324,0.19182332,0.5129395,0.3170058,0.47023085,0.8018449,0.9978922
0.68126607,0.34539008,0.36188415,0.9320636,0.35891336,0.29594135,0.8302476,0.9723372
0.5246274,0.55367523,1.0379897,0.9529642,0.54393876,0.55945253,0.82628745,0.8516568
0.22990695,0.16610703,0.053953625,0.29872394,0.1970684,0.69427913,0.9882593,1.0
0.29078603,0.55628586,0.25935495,0.35622716,0.5054472,0.3293287,0.61983347,0.8091053
0.37416017,0.36606228,0.5069216,0.71770597,0.41814762,0.7580614,0.8444018,0.852145
0.15868334,0.33219504,0.14103366,0.25812337,0.36886227,0.66223145,0.8173218,0.8531698
0.28585008,0.34199083,0.3153527,0.51299053,0.38877007,0.6733796,0.85048234,0.8641479
0.40692094,0.5667664,0.6429225,0.66239995,0.5261527,0.39452827,0.75599927,0.84949464
0.5818059,0.35590926,0.65150553,1.0561008,0.4484357,0.56374437,0.8169264,0.8507377
0.2736268,0.25824016,0.19539241,0.4760958,0.29580158,0.72755945,0.8957113,0.94801843
0.6275677,0.44537598,0.8013565,1.1027838,0.5797559,0.65743464,0.7225084,0.7602396
0.25958645,0.24691807,0.14550297,0.40368506,0.28755575,0.60931665,0.88048184,0.95970994
0.37532777,0.40757132,0.28701654,0.5097636,0.4535399,0.42653948,0.6396993,0.8414053
0.17553532,0.35223973,0.1705452,0.29036596,0.38616902,0.63413495,0.81626385,0.85044354
