abs_mn,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
0.74487036,0.4751364,1.0552901,1.2603695,0.4796682,0.4743666,0.82164145,0.85377795
0.27116838,0.14642264,0.072510384,0.4094559,0.21021459,0.74956155,0.9496229,0.9906612
0.7231145,0.4759879,0.5003436,0.89829737,0.5396242,0.29492188,0.54109704,0.711792
0.18542497,0.18722422,0.04696335,0.21990569,0.20945944,0.6321908,0.9977469,1.0
0.71130866,0.51317847,0.9722241,1.0837332,0.50136214,0.5015276,0.7527002,0.84304404
0.3307768,0.21605419,0.10328515,0.40021688,0.24227381,0.5304088,0.9605893,0.99999994
0.77270514,0.58681685,1.0097064,1.0847622,0.5507405,0.31325272,0.70254844,0.8359669
0.2504417,0.14818753,0.061688986,0.32488292,0.17708568,0.7858554,0.9854298,0.99967426
0.57016265,0.58035666,0.7546541,0.8372061,0.5629707,0.32251668,0.6219301,0.7846443
0.46743983,0.23249549,0.24172655,0.7889287,0.2632144,0.65240633,0.90326416,0.9778286
0.32283247,0.19705962,0.1258984,0.45687285,0.23484057,0.71809995,0.9274426,0.99954975
0.54313916,0.45445752,0.43360022,0.70861715,0.50757694,0.40940264,0.5900478,0.75251853
0.7439816,0.47936487,1.0928614,1.3023225,0.4812033,0.497166,0.81716335,0.857127
0.5575374,0.53973603,0.97269,0.9405659,0.53031695,0.44073272,0.7632683,0.8582309
0.6038658,1.038259,1.9457284,0.9925297,0.7915742,0.32637313,0.57882106,0.73587966
1.4757868,0.8870329,2.7786832,2.037013,0.79237264,0.20864217,0.44186282,0.6130366
0.84823245,0.49878335,0.58182174,1.0202869,0.54899037,0.2314376,0.51557636,0.7016991
0.25204587,0.16573675,0.0868491,0.36937517,0.20820984,0.7663982,0.9502407,0.9903493
0.41188377,0.26847193,0.20892546,0.5723468,0.31368858,0.55922127,0.83001775,0.9543599
0.45563707,0.67493695,0.94108,0.7650783,0.61095214,0.5718711,0.75073224,0.79959446
0.6575245,0.6241447,1.2333636,1.1061305,0.57153606,0.41146335,0.7713187,0.831772
0.28645444,0.23112431,0.19270733,0.50238204,0.2801168,0.76069987,0.8788584,0.9409313
0.18822005,0.22196634,0.07234579,0.2608524,0.31935307,0.6008949,0.8147796,0.93452376
0.28113598,0.38262254,0.24295036,0.4122349,0.41743946,0.5271008,0.74223757,0.85348403
1.0397589,1.2287557,5.8427663,2.2033095,0.8363811,0.3730624,0.7620545,0.82042277
0.3706947,0.30385384,0.26088443,0.55555826,0.34572184,0.5795581,0.8426191,0.89877284
0.40492797,0.54587126,0.44788867,0.5607038,0.54858536,0.3907567,0.6001918,0.739934
0.3292818,0.38975605,0.22021872,0.43671733,0.40456465,0.375,0.7077377,0.896607
